Jimi Hendrix,All Along the Watchtower,The Ultimate Experience,Rock,,,,
Justin Bieber,Beauty and a Beat,Believe,Pop,justin_bieber_believe,,Country,Doug
Justin Timberlake,Suit and Tie,The 20/20 Experience,Pop,justin_timberlake_the_20_20_experience.jpg,,,Doug
Kanye West,Clique,Clique,Hip Hop/ Rap,kanye_clique.jpg,,Pop,
Kanye West & Jay-Z,Niggas In Paris,Watch the Throne,Hip Hop/ Rap,,,,Doug
Katy Perry,The One That Got Away,Teenage Dream,Pop,katy_perry_teenage_dream.jpg,,,
Ke$ha,C'mon,Warrior,Pop,kesha_warrior,,Lounge,
Ke$ha,Die Young,Warrior,Pop,kesha_warrior,,Contemporary,
Kid Cudi,Pursuit Of Happiness,Man on the Moon: The End of Day,Hip Hop/ Rap,,,,Doug
Lady Gaga,Marry The Night,Born This Way,Pop,lady_gaga_born_this_way.jpg,,,Doug
Led Zeppelin,Stairway to Heaven,[Led Zeppelin IV],Rock,,,,
Linkin Park,Crawling,Hybrid Theory,Rock,,,,
Linkin Park,Faint,Meteora,Rock,,,,
Linkin Park,In the End,Hybrid Theory,Rock,,,,
Linkin Park,Numb,Live in Texas,Rock,,,,
Linkin Park,Somewhere I Belong,Meteora,Rock,,,,Doug
LMFAO,Party Rock Anthem,Party Rock Anthem,Dance,,,,Doug
LMFAO,Sexy and I Know It,Sorry for Party Rocking,Dance,,,,Doug
M83,Midnight City,"Hurry Up, We\'e2\'80\'99re Dreaming",Alternative,,,,
Macklemore,Thrift Shop,The Heist,Hip Hop/ Rap,,,,Doug
Maroon 5,Daylight,Overexposed,Pop,maroon_5_daylight.jpg,,R&B,Doug
Maroon 5,Moves Like Jagger,Hands All Over,Pop,maroon_5_hands_all_over.jpg,,,Doug
Maroon 5,One More Night,Overexposed,Pop,maroon_5_overexposed.jpg,,,Doug
Maroon 5,Payphone,Overexposed,Pop,maroon_5_overexposed.jpg,,,Doug
Maroon 5,She Will Be Loved,Songs About Jane,Pop,,,,Doug
Maroon 5,This Love,This Love,Pop,,,,Doug
Metallica,Enter Sandman,No Leaf Clover,Rock,,,,
Metallica,The Unforgiven II,Reload,Rock,,,,
M.I.A,Bad Girls,Matangi,Electronic,,,,
MGMT,Electric Feel (Album Version),Oracular Spectacular,Alternative,,,,
MGMT,Kids (Album Version),Oracular Spectacular,Alternative,,,,
Muse,Starlight,Black Holes and Revelations,Alternative,,,,
Muse,Uprising (Album Version),Uprising,Alternative,,,,
Nelly,Just a Dream,Just a Dream,Hip Hop/ Rap,,,,
Nickelback,Far Away,All The Right Reasons,Rock,nickelback_all_the_right_reasons.jpg,,,Doug
Nicki Minaj,Starships,Pink Friday,Hip Hop/ Rap,,,,Doug
Nicki Minaj,Super Bass,Pink Friday,Hip Hop/ Rap,,,,Doug
Nirvana,In Bloom,Nirvana,Rock,,,,Doug
Nirvana,Smells Like Teen Spirit,Nirvana,Rock,,,,Doug
Oasis/oasis,Wonderwall,(What's The Story) Morning Glory?,Rock,,,,
Of Monsters and Men,Little Talks,My Head Is an Animal,Alternative,,,,Doug
One direction,Kiss You,Take Me Home,Pop,one_direction_take_me_home.jpg,,,Doug
One direction,What Makes You Beautiful,Up All Night,Pop,one_direction_up_all_night.jpg,,,Doug
OneRepublic,Good Life,Waking Up,Rock,,,,Doug
Pearl Jam,Just Breathe,Backspacer,Rock,,,,Doug
Pendulum,The Island,Immersion,Dance,pendulum_immersion.jpg,,,Doug
Pink,Blow Me,The Truth About Love,Pop,pink_truth_about_love,,Electronic,Doug
Pink,Try,The Truth About Love,Pop,pink_truth_about_love,,,Doug
Pitbull,Don’t Stop the Party,Global Warming,Hip Hop/ Rap,pitbull_global_warming.jpg,,K-pop,Doug
Psy,Gangnam Style,PSY 6,Pop,psy_psy6.jpg,,,Doug
Queen,Don't Stop Me Now,Greatest Hits,Rock,,,,Doug
Red Hot Chili Peppers,By the Way,By the Way,Alternative,,,,Doug
Red Hot Chili Peppers,Scar Tissue (Album Version),Scar Tissue,Alternative,,,,Doug
Red Hot Chili Peppers,The Zephyr Song,By the Way,Alternative,,,,Doug
Rihanna,Diamonds,Unapologetic,Pop,rihanna_apologetic.jpg,,Rock,Doug
Rihanna,Rude Boy,Rated R,Pop,,,,Doug
Rihanna,We Found Love,Talk That Talk,Pop,rihanna_talk_that_talk.jpg,,,Doug
Rihanna,Where Have You Been,Talk That Talk,Pop,,,,Doug
Rise Against,Prayer of the Refugee,The Sufferer & the Witness,Rock,,,,
Rise Against,Satellite,Endgame,Rock,,,,
Rise Against,Savior,Appeal to Reason,Rock,,,,
Robbie Williams,Candy,Take the Crown,Pop,robbie_williams_take_the_crown,,Hip Hop,
Skrillex,Bangarang,ThisSongIsSick.com,Dance,,,,
Skrillex,Cinema,Scary Monsters and Nice Sprites,Dance,,,,
Skrillex,Kill EVERYBODY,Scary Monsters and Nice Sprites,Dance,,,,
Skrillex,Scary Monsters and Nice Spirits,Scary Monsters and Nice Sprites,Dance,skrillex_scary_monsters.jpg,,,
Skrillex,Scary Monsters and Nice Sprites,Scary Monsters and Nice Sprites,Dance,,,,
Sublime,Santeria,Sublime,,,,,Doug
Swedish House Mafia,Don't You Worry Child,Until Now,Dance,swedish_house_mafia_until_now.jpg,,Jazz,Doug
Taylor Swift,I Knew You Were Trouble,Red,Pop,taylor_swift_red.jpg,,,Doug
Taylor Swift,We Are Never Getting Back Together,Red,Pop,taylor_swift_red.jpg,,,Doug
The Black Keys,Gold on the Ceiling,El Camino,Alternative,,,,Doug
The Black Keys,Lonely Boy,El Camino,Alternative,,,,Doug
The Lumineers,Ho Hey,Daytrotter Studio  10/11/2011,Alternative,,,,Doug
The Police,Every Little Thing She Does Is Magic,The Police,Rock,,,,Doug
The Strokes,Last Night,Is This It,Alternative,,,,Doug
The Weeknd,Wicked Games,Trilogy,RnB/Soul,the_weekend_trilogy.jpg,,,
Train,Drive By,Drive By,Rock,,,,Doug
Tyga,Do My Dance,Well Done 3,Hip Hop/ Rap,tyga_well_done_3.jpg,,Dubstep,
Tyga,Faded (ft. Lil wayne),Faded,Hip Hop/ Rap,,,,Doug
Tyga,Rack City,Rack City- Single,Hip Hop/ Rap,,,,Doug
U2,Beatiful Day,U2 18 Greatest Hits,Rock,,,,Doug
U2,One,Greatest Hits,Rock,,,,Doug
Usher,DJ Got Us Falling In Love Again,DJ Got Us Falling In Love Again,RnB/Soul,,,,Doug
Weezer,Island in the Sun,Weezer (Green Album),Alternative,,,,Doug
will.i.am,Scream and Shout,willpower,Pop,william_scream_and_shout.jpg,,,Doug
